Member id,SEC,FEH,MT,SEX,AGE,EDU,HS,CHILD,CS,Affluence Index,No. of Brands,Brand Runs,Total Volume,No. of  Trans,Value,Trans / Brand Runs,Vol/Tran,Avg. Price ,Pur Vol No Promo - %,Pur Vol Promo 6 %,Pur Vol Other Promo %,"Br. Cd. 57, 144",Br. Cd. 55,Br. Cd. 272,Br. Cd. 286,Br. Cd. 24,Br. Cd. 481,Br. Cd. 352,Br. Cd. 5,Others 999,Pr Cat 1,Pr Cat 2,Pr Cat 3,Pr Cat 4,PropCat 5,PropCat 6,PropCat 7,PropCat 8,PropCat 9,PropCat 10,PropCat 11,PropCat 12,PropCat 13,PropCat 14,PropCat 15,,,,,,,,,,,,,,,,,,,,,
1017490,4,3,10,2,4,4,6,4,1,30,4,24,16275,42,1555.50,1.75,387.50,9.56,81.7%,17.4%,0.9%,2.5%,0.0%,0.0%,0.0%,0.5%,2.8%,0.0%,0.0%,94.3%,24.4%,15.4%,0.0%,60.2%,78.6%,0.0%,12.0%,0.0%,3.7%,0.6%,2.8%,0.0%,0.5%,0.0%,1.8%,,,,,,,,,,,,,,,,,,,,,
1020070,3,3,10,2,1,4,5,4,1,18,4,21,13875,61,1547.75,2.90,227.46,11.15,98.9%,1.1%,0.0%,34.1%,7.6%,0.0%,0.0%,0.0%,0.0%,6.5%,0.0%,51.9%,40.7%,51.7%,7.6%,0.0%,44.1%,0.0%,42.2%,0.0%,4.3%,0.0%,0.0%,0.0%,0.0%,7.6%,1.8%,,,,,,,,,,,,,,,,,,,,,
1020210,4,3,17,2,3,3,4,3,2,8,3,9,20675,26,1538.00,2.89,795.19,7.44,100.0%,0.0%,0.0%,3.0%,0.0%,0.0%,0.0%,0.0%,1.5%,0.0%,0.0%,95.5%,5.7%,3.4%,0.0%,90.9%,97.8%,0.7%,0.0%,0.0%,0.0%,0.0%,1.5%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1024050,4,3,17,2,3,3,6,4,1,10,4,10,15450,28,1275.50,2.80,551.79,8.26,100.0%,0.0%,0.0%,36.9%,32.0%,0.0%,0.0%,0.0%,0.0%,9.1%,0.0%,22.0%,0.0%,49.2%,32.0%,18.8%,58.9%,0.0%,9.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,32.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1024100,3,1,13,2,4,3,6,4,1,15,2,8,9150,25,917.00,3.13,366.00,10.02,100.0%,0.0%,0.0%,39.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.7%,3.3%,68.3%,7.7%,20.8%,63.4%,0.0%,4.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,7.7%,24.0%,,,,,,,,,,,,,,,,,,,,,
1024120,4,3,10,2,4,3,5,1,2,13,4,19,16050,50,1518.00,2.63,321.00,9.46,100.0%,0.0%,0.0%,18.1%,18.7%,0.0%,0.0%,0.0%,0.0%,27.4%,0.0%,35.8%,8.4%,65.4%,18.7%,7.5%,42.4%,1.9%,28.7%,0.0%,7.5%,0.0%,0.0%,0.9%,0.0%,18.7%,0.0%,,,,,,,,,,,,,,,,,,,,,
1024220,4,3,10,2,4,3,4,4,0,11,7,28,19150,38,1914.00,1.36,503.95,9.99,88.6%,5.1%,6.3%,8.4%,11.0%,9.4%,9.4%,0.0%,0.0%,3.1%,2.3%,56.4%,9.4%,61.6%,11.0%,18.0%,49.1%,2.3%,7.0%,11.7%,3.1%,0.0%,0.0%,0.0%,0.0%,11.0%,15.7%,,,,,,,,,,,,,,,,,,,,,
1024400,4,3,10,2,4,1,6,2,0,4,4,13,14625,31,1395.00,2.38,471.77,9.54,100.0%,0.0%,0.0%,60.9%,19.5%,0.0%,0.0%,0.0%,2.6%,0.0%,0.0%,17.1%,3.4%,70.3%,19.5%,6.8%,71.1%,3.4%,0.0%,0.0%,3.4%,0.0%,2.6%,0.0%,0.0%,19.5%,0.0%,,,,,,,,,,,,,,,,,,,,,
1024630,4,3,17,2,3,4,5,2,1,14,3,12,14400,21,1308.50,1.75,685.71,9.09,91.7%,8.3%,0.0%,35.4%,6.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,58.3%,0.0%,53.8%,6.3%,39.9%,85.8%,2.8%,0.0%,5.2%,0.0%,0.0%,0.0%,0.0%,0.0%,6.3%,0.0%,,,,,,,,,,,,,,,,,,,,,
1025070,3,0,0,0,2,0,0,5,0,0,2,4,675,4,123.50,1.00,168.75,18.30,33.3%,66.7%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,88.9%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,0.0%,0.0%,33.3%,0.0%,33.3%,11.1%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1025140,4,0,0,0,2,0,0,5,0,0,2,4,6400,8,368.00,2.00,800.00,5.75,57.8%,0.0%,42.2%,0.0%,93.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6.3%,0.0%,0.0%,93.8%,6.3%,6.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,93.8%,0.0%,,,,,,,,,,,,,,,,,,,,,
1025210,2,3,17,2,2,5,5,2,1,4,3,3,7550,26,434.00,8.67,290.38,5.75,96.0%,0.0%,4.0%,1.3%,97.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.3%,0.0%,1.3%,97.4%,1.3%,2.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,97.4%,0.0%,,,,,,,,,,,,,,,,,,,,,
1027040,4,3,10,2,3,4,7,4,1,11,3,4,32000,27,1864.00,6.75,1185.19,5.83,94.6%,0.7%,4.7%,0.0%,98.4%,0.0%,0.0%,0.0%,0.7%,0.0%,0.0%,0.9%,0.9%,0.7%,98.4%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.4%,0.7%,0.0%,0.0%,98.4%,0.0%,,,,,,,,,,,,,,,,,,,,,
1027160,3,0,0,0,3,0,0,5,0,0,3,3,1600,4,111.00,1.33,400.00,6.94,100.0%,0.0%,0.0%,18.8%,75.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6.3%,6.3%,18.8%,75.0%,0.0%,18.8%,0.0%,0.0%,0.0%,6.3%,0.0%,0.0%,0.0%,0.0%,75.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1027210,4,0,0,0,3,0,0,5,0,0,3,5,2825,5,300.00,1.00,565.00,10.62,100.0%,0.0%,0.0%,0.0%,53.1%,31.9%,0.0%,0.0%,0.0%,0.0%,0.0%,15.0%,15.0%,31.9%,53.1%,0.0%,0.0%,0.0%,8.0%,31.9%,7.1%,0.0%,0.0%,0.0%,0.0%,53.1%,0.0%,,,,,,,,,,,,,,,,,,,,,
1027390,3,3,10,2,3,5,4,3,0,18,3,41,16730,67,2156.00,1.63,249.70,12.89,97.3%,0.0%,2.7%,15.5%,0.0%,0.0%,0.0%,2.7%,0.0%,0.0%,0.0%,81.8%,44.4%,34.1%,0.0%,21.5%,41.2%,3.7%,10.5%,26.9%,3.6%,0.0%,0.0%,3.6%,2.7%,0.0%,7.8%,,,,,,,,,,,,,,,,,,,,,
1027480,4,1,4,2,4,4,7,4,0,9,2,3,10800,25,1141.00,8.33,432.00,10.56,100.0%,0.0%,0.0%,88.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,1.9%,98.1%,0.0%,0.0%,98.1%,0.0%,0.0%,0.0%,1.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1027540,3,3,10,2,2,3,2,4,1,11,2,16,12425,39,1322.50,2.44,318.59,10.64,99.4%,0.6%,0.0%,67.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,32.4%,15.5%,80.5%,0.0%,4.0%,84.5%,0.0%,1.2%,0.0%,13.7%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1027580,4,3,10,2,2,4,6,3,1,13,3,13,10925,27,943.00,2.08,404.63,8.63,88.3%,3.4%,8.2%,11.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.9%,0.0%,87.2%,0.0%,34.8%,0.0%,65.2%,91.5%,0.0%,0.9%,7.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1027680,4,0,0,0,2,0,0,5,0,0,2,2,6050,8,381.50,4.00,756.25,6.31,100.0%,0.0%,0.0%,13.2%,86.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,13.2%,86.8%,0.0%,13.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,86.8%,0.0%,,,,,,,,,,,,,,,,,,,,,
1027720,4,1,10,2,4,4,4,2,2,4,2,2,15100,24,865.00,12.00,629.17,5.73,100.0%,0.0%,0.0%,0.0%,95.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4.6%,0.0%,0.0%,95.4%,4.6%,4.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,95.4%,0.0%,,,,,,,,,,,,,,,,,,,,,
1027750,4,3,10,2,2,1,5,3,1,9,3,13,7475,15,734.50,1.15,498.33,9.83,93.0%,0.0%,7.0%,4.0%,0.0%,0.0%,0.0%,0.0%,8.0%,0.0%,0.0%,88.0%,27.4%,27.1%,0.0%,45.5%,63.9%,6.0%,14.0%,0.0%,1.3%,6.7%,8.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1027810,4,0,0,0,2,0,0,5,0,0,2,2,1050,5,74.00,2.50,210.00,7.05,100.0%,0.0%,0.0%,28.6%,71.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,28.6%,71.4%,0.0%,28.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,71.4%,0.0%,,,,,,,,,,,,,,,,,,,,,
1027840,2,3,5,2,3,1,3,4,2,4,1,1,22050,23,1249.50,23.00,958.70,5.67,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1028020,4,3,16,2,2,4,5,2,0,5,2,3,18600,23,1046.00,7.67,808.70,5.62,95.2%,0.0%,4.8%,0.0%,93.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6.5%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1028050,3,3,16,2,2,1,5,2,1,8,2,24,12475,40,1268.50,1.67,311.88,10.17,84.6%,13.0%,2.4%,0.0%,6.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,94.0%,31.1%,3.6%,6.0%,59.3%,68.1%,17.4%,1.2%,4.4%,1.2%,0.0%,0.0%,0.0%,0.0%,6.0%,1.6%,,,,,,,,,,,,,,,,,,,,,
1028110,4,3,10,2,2,4,3,2,0,2,2,6,4800,24,360.50,4.00,200.00,7.51,95.8%,4.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,8.3%,0.0%,91.7%,4.2%,8.3%,4.2%,83.3%,83.3%,0.0%,8.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4.2%,4.2%,,,,,,,,,,,,,,,,,,,,,
1028230,4,2,10,2,4,3,4,2,1,10,2,6,10050,24,899.00,4.00,418.75,8.95,100.0%,0.0%,0.0%,0.0%,3.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,97.0%,0.0%,0.0%,3.0%,97.0%,26.9%,0.0%,0.0%,70.1%,0.0%,0.0%,0.0%,0.0%,0.0%,3.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1030040,4,3,10,2,4,0,6,4,2,11,1,1,15000,23,850.00,23.00,652.17,5.67,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1030150,4,0,0,0,4,0,0,5,0,0,3,8,3325,8,278.50,1.00,415.63,8.38,100.0%,0.0%,0.0%,33.8%,54.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.0%,6.8%,39.1%,54.1%,0.0%,33.8%,12.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,54.1%,0.0%,,,,,,,,,,,,,,,,,,,,,
1030200,3,1,4,2,4,1,4,4,2,13,2,11,10325,19,674.25,1.73,543.42,6.53,97.8%,2.2%,0.0%,0.0%,2.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,97.1%,4.4%,86.0%,2.9%,6.8%,9.0%,2.2%,1.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.9%,84.0%,,,,,,,,,,,,,,,,,,,,,
1030280,4,3,10,2,1,1,6,1,2,6,3,10,15400,38,990.00,3.80,405.26,6.43,100.0%,0.0%,0.0%,0.0%,87.7%,0.0%,0.0%,1.9%,0.0%,0.0%,0.0%,10.4%,3.4%,5.8%,90.3%,0.5%,5.8%,0.0%,0.8%,0.5%,0.6%,0.0%,0.0%,0.0%,1.9%,90.3%,0.0%,,,,,,,,,,,,,,,,,,,,,
1030300,2,3,16,2,4,1,9,4,1,14,3,6,23500,28,1585.00,4.67,839.29,6.74,92.3%,0.0%,7.7%,0.0%,89.4%,0.0%,0.0%,0.0%,0.0%,0.0%,3.8%,6.8%,8.1%,2.6%,89.4%,0.0%,0.0%,6.4%,1.9%,0.0%,0.0%,1.9%,0.0%,0.4%,0.0%,89.4%,0.0%,,,,,,,,,,,,,,,,,,,,,
1034020,4,0,0,0,2,0,0,5,0,0,1,1,900,5,51.00,5.00,180.00,5.67,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1034130,4,1,17,2,4,4,8,3,0,8,2,3,34200,24,2468.00,8.00,1425.00,7.22,100.0%,0.0%,0.0%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,98.2%,0.0%,1.8%,0.0%,98.2%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1034220,3,3,10,2,4,4,4,4,1,11,5,7,9400,24,1119.50,3.43,391.67,11.91,95.2%,4.8%,0.0%,0.0%,8.0%,4.8%,0.0%,0.0%,67.0%,2.1%,0.0%,18.1%,0.0%,87.8%,12.2%,0.0%,0.0%,10.6%,5.3%,4.8%,0.0%,0.0%,67.0%,0.0%,0.0%,12.2%,0.0%,,,,,,,,,,,,,,,,,,,,,
1034350,4,0,0,0,3,0,0,5,0,0,3,7,3925,9,306.00,1.29,436.11,7.80,94.9%,5.1%,0.0%,7.6%,11.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,80.9%,1.9%,7.6%,11.5%,79.0%,86.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.9%,0.0%,11.5%,0.0%,,,,,,,,,,,,,,,,,,,,,
1035020,4,3,10,2,4,1,3,4,1,9,4,15,9800,23,941.00,1.53,426.09,9.60,100.0%,0.0%,0.0%,13.8%,0.0%,2.3%,0.0%,0.0%,0.0%,54.1%,0.0%,29.8%,6.1%,73.5%,2.0%,18.4%,36.2%,0.8%,54.1%,6.9%,0.0%,0.0%,0.0%,0.0%,0.0%,2.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1035100,4,0,0,0,3,0,0,5,0,0,1,1,4950,7,280.50,7.00,707.14,5.67,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1035150,3,1,4,2,4,7,9,2,1,37,5,25,19910,43,2865.50,1.72,463.02,14.39,96.2%,0.8%,3.0%,12.1%,0.0%,1.1%,0.0%,2.3%,0.0%,0.0%,6.8%,77.8%,62.3%,37.7%,0.0%,0.0%,13.5%,21.5%,19.6%,20.7%,0.5%,2.3%,0.0%,3.4%,2.3%,0.0%,16.3%,,,,,,,,,,,,,,,,,,,,,
1037050,4,3,10,2,4,1,5,1,2,10,3,4,21150,20,1326.00,5.00,1057.50,6.27,89.4%,0.0%,10.6%,0.0%,93.6%,4.3%,0.0%,0.0%,0.0%,0.0%,0.0%,2.1%,0.0%,4.3%,93.6%,2.1%,2.1%,0.0%,0.0%,4.3%,0.0%,0.0%,0.0%,0.0%,0.0%,93.6%,0.0%,,,,,,,,,,,,,,,,,,,,,
1037120,4,1,4,2,2,4,10,3,1,14,3,10,15875,22,1835.00,2.20,721.59,11.56,100.0%,0.0%,0.0%,58.0%,0.0%,0.0%,0.0%,0.0%,23.1%,0.0%,0.0%,18.9%,5.7%,94.3%,0.0%,0.0%,76.9%,0.0%,0.0%,0.0%,0.0%,0.0%,23.1%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1037190,2,1,4,2,2,1,6,1,1,12,3,12,6825,18,468.00,1.50,379.17,6.86,98.5%,1.5%,0.0%,5.9%,57.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.0%,4.4%,20.9%,57.1%,17.6%,23.4%,1.1%,2.2%,2.2%,0.0%,0.0%,0.0%,0.0%,0.0%,57.1%,13.9%,,,,,,,,,,,,,,,,,,,,,
1037220,4,3,17,2,1,4,15,1,1,37,5,33,26375,34,2696.00,1.03,775.74,10.22,80.1%,19.3%,0.6%,13.6%,2.8%,2.6%,0.0%,0.0%,0.0%,0.8%,0.0%,80.2%,19.6%,71.5%,2.8%,6.1%,74.0%,0.0%,3.6%,11.3%,0.0%,4.3%,0.0%,0.6%,0.0%,2.8%,3.4%,,,,,,,,,,,,,,,,,,,,,
1037250,3,3,10,2,4,1,4,4,1,7,2,2,16350,23,949.50,11.50,710.87,5.81,100.0%,0.0%,0.0%,0.0%,98.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.8%,0.0%,1.8%,98.2%,0.0%,0.0%,1.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,98.2%,0.0%,,,,,,,,,,,,,,,,,,,,,
1037290,4,3,10,2,1,4,9,3,1,16,3,12,18275,31,2225.50,2.58,589.52,12.18,90.2%,9.8%,0.0%,41.0%,0.0%,0.0%,0.0%,0.0%,33.7%,0.0%,0.0%,25.3%,6.3%,88.9%,0.0%,4.8%,60.9%,0.0%,0.0%,0.0%,0.0%,0.0%,33.7%,5.5%,0.0%,0.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1037420,4,3,10,2,4,3,5,4,1,17,3,18,30350,41,2121.50,2.28,740.24,6.99,90.2%,2.9%,6.9%,0.0%,79.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,20.2%,12.2%,4.3%,79.6%,4.0%,7.4%,3.2%,0.0%,2.7%,4.6%,0.7%,0.0%,0.5%,0.0%,79.6%,1.3%,,,,,,,,,,,,,,,,,,,,,
1037630,4,3,6,2,4,5,4,4,1,11,5,24,19000,28,1737.00,1.17,678.57,9.14,100.0%,0.0%,0.0%,3.7%,9.5%,7.1%,0.0%,0.0%,0.0%,2.1%,0.0%,77.6%,13.3%,26.3%,17.0%,43.4%,69.5%,0.0%,2.1%,9.9%,0.0%,1.6%,0.0%,0.0%,0.0%,17.0%,0.0%,,,,,,,,,,,,,,,,,,,,,
1037690,3,1,5,2,3,1,5,4,1,10,2,3,24950,25,1425.00,8.33,998.00,5.71,100.0%,0.0%,0.0%,0.0%,95.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4.4%,0.0%,0.0%,99.2%,0.8%,0.8%,3.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,95.6%,0.0%,,,,,,,,,,,,,,,,,,,,,
1037720,4,1,4,2,4,5,4,4,1,15,4,17,8975,25,867.50,1.47,359.00,9.67,95.0%,0.0%,5.0%,27.9%,26.7%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,32.9%,12.5%,54.0%,33.4%,0.0%,27.9%,37.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.4%,1.7%,,,,,,,,,,,,,,,,,,,,,
1037850,4,3,10,1,4,5,3,4,1,16,6,23,20070,63,1830.85,2.74,318.57,9.12,94.0%,6.0%,0.0%,1.0%,6.7%,1.1%,7.5%,0.0%,0.0%,19.4%,0.0%,64.3%,18.1%,40.8%,11.7%,29.4%,39.9%,4.4%,37.5%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,10.7%,6.5%,,,,,,,,,,,,,,,,,,,,,
1037890,4,3,15,1,2,4,8,3,1,7,4,19,19950,48,1526.00,2.53,415.63,7.65,97.2%,0.0%,2.8%,5.0%,79.7%,0.0%,0.0%,0.0%,0.0%,0.0%,4.5%,10.8%,9.3%,10.5%,79.7%,0.5%,6.9%,9.1%,0.8%,0.6%,0.5%,0.0%,0.0%,2.4%,0.0%,79.7%,0.0%,,,,,,,,,,,,,,,,,,,,,
1037940,4,3,10,2,3,3,5,4,1,13,5,4,20100,29,1210.00,7.25,693.10,6.02,100.0%,0.0%,0.0%,0.0%,95.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.7%,3.7%,0.7%,3.7%,95.5%,0.0%,0.0%,0.7%,3.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,95.5%,0.0%,,,,,,,,,,,,,,,,,,,,,
1038000,2,3,10,2,4,1,4,4,1,5,3,6,11800,23,1216.00,3.83,513.04,10.31,100.0%,0.0%,0.0%,87.3%,5.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,7.6%,2.5%,92.4%,5.1%,0.0%,92.4%,0.0%,0.0%,0.0%,2.5%,0.0%,0.0%,0.0%,0.0%,5.1%,0.0%,,,,,,,,,,,,,,,,,,,,,
