Customer Number,Clothing Division,Housewares Division,Health Products Division,Automotive Division,Personal Electronics Division,Computers Division,Garden Division,Novelty Gift Division,Jewelry Division,,,,,,,,,,
000593244,0,0,1,0,1,0,0,0,0,,,,,,,,,,
000603423,0,1,1,1,1,0,1,1,1,,,,,,,,,,
000618611,0,0,1,0,1,0,0,0,0,,,,,,,,,,
000645598,0,1,1,1,1,0,1,1,0,,,,,,,,,,
000667402,0,1,1,0,1,0,1,1,1,,,,,,,,,,
000681833,0,1,1,1,0,0,1,1,0,,,,,,,,,,
000690370,0,1,1,1,0,0,0,0,1,,,,,,,,,,
000728410,0,0,1,1,1,0,1,0,1,,,,,,,,,,
000823534,0,1,1,0,1,0,0,0,0,,,,,,,,,,
000884338,0,1,1,0,1,0,1,1,1,,,,,,,,,,
000888917,0,1,1,1,1,0,1,1,1,,,,,,,,,,
001058254,0,1,1,1,1,0,1,1,1,,,,,,,,,,
001096445,0,0,1,0,1,0,1,0,0,,,,,,,,,,
001106608,0,0,1,0,0,0,1,0,0,,,,,,,,,,
001109370,0,1,1,1,1,0,1,1,1,,,,,,,,,,
001155423,0,0,1,1,1,0,0,0,1,,,,,,,,,,
001165232,0,0,1,0,1,0,0,0,0,,,,,,,,,,
001167576,0,0,1,1,1,0,1,0,1,,,,,,,,,,
001186659,0,1,1,0,0,0,0,0,1,,,,,,,,,,
001195551,0,1,1,0,1,0,1,1,1,,,,,,,,,,
001214907,0,1,1,0,1,0,1,1,0,,,,,,,,,,
001223494,0,1,1,0,1,0,0,1,1,,,,,,,,,,
001249291,0,1,1,1,1,0,1,1,1,,,,,,,,,,
001254143,0,0,1,0,1,0,1,0,0,,,,,,,,,,
001255629,0,1,1,0,1,0,1,1,0,,,,,,,,,,
001265271,0,0,1,1,1,0,1,1,0,,,,,,,,,,
001280031,0,1,1,1,0,0,0,0,1,,,,,,,,,,
001280346,0,1,1,0,1,0,0,0,1,,,,,,,,,,
001289008,0,0,1,0,1,0,1,0,0,,,,,,,,,,
001302041,0,1,1,0,1,0,1,0,1,,,,,,,,,,
001327097,0,1,1,0,1,0,0,0,1,,,,,,,,,,
001333608,0,1,1,0,1,0,0,1,1,,,,,,,,,,
001348291,0,1,1,0,1,0,1,1,1,,,,,,,,,,
001351832,0,0,1,0,1,0,0,0,0,,,,,,,,,,
001357185,0,0,1,0,1,0,0,0,0,,,,,,,,,,
001378728,0,1,1,0,1,0,1,1,1,,,,,,,,,,
001381482,0,0,1,0,1,0,0,0,0,,,,,,,,,,
001455039,0,0,1,1,1,0,1,1,1,,,,,,,,,,
001468222,1,1,1,1,1,0,1,1,1,,,,,,,,,,
001500636,0,1,1,1,1,0,1,1,0,,,,,,,,,,
001507847,0,0,1,0,1,0,0,0,0,,,,,,,,,,
001526847,0,1,1,0,0,0,1,0,0,,,,,,,,,,
001535376,0,1,1,1,1,0,1,1,0,,,,,,,,,,
001551084,0,0,1,1,0,0,1,0,1,,,,,,,,,,
001554062,0,0,1,0,1,0,0,0,0,,,,,,,,,,
001558139,0,1,1,0,1,1,0,0,1,,,,,,,,,,
001570191,0,0,1,0,1,0,0,0,1,,,,,,,,,,
001576248,0,0,1,0,1,0,0,1,1,,,,,,,,,,
001584572,0,0,1,0,1,0,0,0,1,,,,,,,,,,
001599695,0,0,1,1,1,0,1,1,1,,,,,,,,,,
001650878,0,0,1,0,1,0,1,0,0,,,,,,,,,,
001690197,0,0,1,0,1,0,1,1,0,,,,,,,,,,
001701937,0,1,1,1,1,0,0,1,1,,,,,,,,,,
001714054,0,1,1,1,1,0,1,1,1,,,,,,,,,,
001746288,0,0,1,1,1,0,1,0,1,,,,,,,,,,
001757137,0,1,1,0,1,0,1,0,0,,,,,,,,,,
001769066,0,1,1,0,1,0,0,1,0,,,,,,,,,,
001780089,0,0,1,1,1,0,1,1,0,,,,,,,,,,
001783414,0,1,1,1,1,0,1,0,1,,,,,,,,,,
001791474,0,1,1,0,1,0,1,1,1,,,,,,,,,,
001800580,0,0,1,0,0,0,0,0,0,,,,,,,,,,
001822238,0,0,1,1,0,0,1,0,0,,,,,,,,,,
001872142,0,0,1,0,1,0,0,0,1,,,,,,,,,,
001892447,0,1,1,0,1,0,0,0,1,,,,,,,,,,
001897800,0,1,1,1,0,1,0,0,1,,,,,,,,,,
001911478,0,1,1,1,1,0,0,0,1,,,,,,,,,,
001925395,0,1,1,0,1,0,1,0,1,,,,,,,,,,
001932144,0,1,1,0,1,0,0,0,1,,,,,,,,,,
001938083,0,0,1,0,1,0,1,0,0,,,,,,,,,,
001955871,0,1,1,0,1,0,1,1,0,,,,,,,,,,
001984749,0,1,1,0,1,0,1,0,1,,,,,,,,,,
001987668,0,1,1,0,1,1,1,1,1,,,,,,,,,,
002001709,0,1,1,0,1,0,1,1,0,,,,,,,,,,
002014306,0,0,1,0,0,0,0,0,0,,,,,,,,,,
002023851,0,0,1,0,1,0,1,0,1,,,,,,,,,,
002037810,0,0,1,1,0,0,0,0,0,,,,,,,,,,
002040822,0,1,1,1,1,0,1,0,1,,,,,,,,,,
002046035,0,1,1,0,1,0,1,1,0,,,,,,,,,,
002057768,0,1,1,1,1,0,1,1,1,,,,,,,,,,
002089084,0,1,1,0,0,0,0,0,1,,,,,,,,,,
002095594,0,1,1,0,1,0,1,1,0,,,,,,,,,,
002104024,0,1,1,1,1,0,1,0,1,,,,,,,,,,
002111920,0,1,1,0,0,0,0,0,0,,,,,,,,,,
002117562,0,0,1,0,0,0,1,0,1,,,,,,,,,,
002123909,0,1,1,0,1,0,0,1,1,,,,,,,,,,
002137149,0,0,1,0,0,0,0,1,0,,,,,,,,,,
002138121,0,1,1,0,0,0,1,0,1,,,,,,,,,,
002146140,0,1,1,0,1,1,0,0,1,,,,,,,,,,
002154623,0,1,1,0,0,0,1,1,0,,,,,,,,,,
002162345,0,0,1,0,0,0,1,0,0,,,,,,,,,,
002213890,0,0,1,0,1,0,0,0,1,,,,,,,,,,
002231264,0,1,1,0,0,0,1,0,0,,,,,,,,,,
002234193,0,1,1,1,1,0,1,0,1,,,,,,,,,,
002255990,0,0,1,0,0,0,1,0,0,,,,,,,,,,
002261014,0,0,1,0,0,0,1,1,1,,,,,,,,,,
002275097,0,1,1,0,1,0,0,1,1,,,,,,,,,,
002283372,0,1,1,0,0,0,1,1,1,,,,,,,,,,
002286797,0,1,1,1,1,0,1,0,1,,,,,,,,,,
002316545,0,0,1,1,1,0,1,1,0,,,,,,,,,,
002330199,0,1,1,0,1,1,1,1,1,,,,,,,,,,
002377448,0,1,1,0,1,0,0,0,1,,,,,,,,,,
002389674,0,0,1,0,1,0,1,0,1,,,,,,,,,,
002397867,0,1,1,1,0,0,0,0,1,,,,,,,,,,
002413714,0,1,1,1,1,0,1,1,1,,,,,,,,,,
002449411,0,0,1,0,1,0,0,1,0,,,,,,,,,,
002475192,0,1,1,1,1,0,1,1,1,,,,,,,,,,
002477131,0,1,1,0,1,1,1,1,1,,,,,,,,,,
002486694,0,0,1,1,0,0,1,1,0,,,,,,,,,,
002509164,0,1,1,1,1,0,1,0,1,,,,,,,,,,
002512358,0,0,1,1,1,0,1,1,0,,,,,,,,,,
002522522,0,1,1,0,0,0,1,0,1,,,,,,,,,,
002552917,0,1,1,1,1,0,1,0,1,,,,,,,,,,
002587384,0,1,1,1,1,0,0,0,0,,,,,,,,,,
002594026,0,0,1,0,1,0,0,0,1,,,,,,,,,,
002601110,0,1,1,0,0,0,1,0,1,,,,,,,,,,
002606358,0,0,1,1,0,0,1,0,1,,,,,,,,,,
002623999,0,0,1,1,1,0,1,1,1,,,,,,,,,,
002639029,0,0,1,0,1,1,1,1,1,,,,,,,,,,
002641983,0,1,1,0,0,0,1,0,1,,,,,,,,,,
002643849,0,1,1,0,0,0,1,1,1,,,,,,,,,,
002663623,0,0,1,0,0,0,1,0,0,,,,,,,,,,
002668366,0,1,1,1,1,0,1,1,1,,,,,,,,,,
002679074,0,1,1,0,0,0,1,0,0,,,,,,,,,,
002679579,0,0,1,0,1,0,1,0,0,,,,,,,,,,
002680577,0,0,1,0,1,0,1,1,0,,,,,,,,,,
002692051,0,0,1,1,0,0,0,0,0,,,,,,,,,,
002712081,0,1,1,0,1,0,0,0,0,,,,,,,,,,
002720910,0,0,1,0,1,0,0,0,0,,,,,,,,,,
002731271,0,1,1,0,1,0,1,0,0,,,,,,,,,,
002733624,0,1,1,1,1,0,1,0,1,,,,,,,,,,
002763233,0,1,1,0,1,0,1,0,1,,,,,,,,,,
002778157,0,0,1,1,1,0,1,1,1,,,,,,,,,,
002789113,0,1,1,1,1,0,1,1,1,,,,,,,,,,
002797538,0,0,1,1,1,0,0,1,0,,,,,,,,,,
002816916,0,1,1,1,1,0,1,1,1,,,,,,,,,,
002831527,0,0,1,0,0,0,0,0,0,,,,,,,,,,
002838886,0,1,1,0,0,0,1,0,1,,,,,,,,,,
002844884,0,0,1,0,0,0,1,0,0,,,,,,,,,,
002851095,0,1,1,0,1,1,1,1,1,,,,,,,,,,
002860161,0,1,1,1,1,0,1,1,1,,,,,,,,,,
002882470,0,0,1,1,1,0,1,0,0,,,,,,,,,,
002885739,0,1,1,0,1,0,1,1,1,,,,,,,,,,
002889541,0,0,1,0,1,0,0,0,0,,,,,,,,,,
002896058,0,0,1,1,1,0,0,0,1,,,,,,,,,,
002934560,0,0,1,0,0,0,0,0,0,,,,,,,,,,
002939825,0,1,1,1,1,0,1,1,0,,,,,,,,,,
002951044,0,1,1,0,1,0,1,1,0,,,,,,,,,,
002956845,0,0,1,0,0,0,1,0,0,,,,,,,,,,
002974806,0,0,1,0,0,0,0,0,0,,,,,,,,,,
002994069,0,1,1,1,1,0,1,1,1,,,,,,,,,,
002999779,0,0,1,0,0,0,1,0,0,,,,,,,,,,
003011095,0,1,1,0,1,0,1,1,0,,,,,,,,,,
003027125,0,0,1,1,1,0,1,0,0,,,,,,,,,,
003062064,0,0,1,1,1,0,0,1,0,,,,,,,,,,
003070877,0,1,1,0,1,0,0,0,1,,,,,,,,,,
003080850,0,0,1,0,0,0,0,1,0,,,,,,,,,,
003085891,0,0,1,0,1,0,1,0,0,,,,,,,,,,
003093093,0,0,1,1,1,0,0,1,1,,,,,,,,,,
003106424,0,1,1,0,1,0,1,0,0,,,,,,,,,,
003131323,0,0,1,1,1,0,1,1,0,,,,,,,,,,
003139987,0,1,1,1,1,0,0,1,1,,,,,,,,,,
003149184,0,0,1,1,1,0,1,0,1,,,,,,,,,,
003157666,0,0,1,0,1,0,1,1,1,,,,,,,,,,
003159597,0,0,1,0,1,0,0,0,0,,,,,,,,,,
003177086,0,1,1,0,1,0,1,1,1,,,,,,,,,,
003181906,0,1,1,0,1,0,0,0,0,,,,,,,,,,
003183571,0,1,1,0,1,0,1,0,1,,,,,,,,,,
003191715,0,1,1,1,1,0,1,0,1,,,,,,,,,,
003197902,0,1,1,1,1,0,1,1,1,,,,,,,,,,
003206653,0,1,1,0,1,0,1,0,1,,,,,,,,,,
003230307,0,0,1,0,1,0,1,0,1,,,,,,,,,,
003235454,0,1,1,1,0,0,1,1,0,,,,,,,,,,
003239407,0,1,1,1,1,0,1,0,0,,,,,,,,,,
003254612,0,1,1,0,1,0,1,1,0,,,,,,,,,,
003258886,0,0,1,0,0,0,1,0,1,,,,,,,,,,
003263787,0,1,1,0,1,0,1,0,1,,,,,,,,,,
003266665,0,0,1,1,0,0,1,0,1,,,,,,,,,,
003283678,0,1,1,0,1,0,1,1,1,,,,,,,,,,
003288578,0,1,1,0,0,0,1,0,1,,,,,,,,,,
003300787,0,1,1,0,1,1,1,1,1,,,,,,,,,,
003305026,0,0,1,1,1,0,0,0,0,,,,,,,,,,
003311388,0,1,1,1,1,0,1,1,0,,,,,,,,,,
003336930,0,1,1,1,1,0,1,1,1,,,,,,,,,,
003339389,0,0,1,0,1,0,1,0,1,,,,,,,,,,
003339900,0,1,1,0,1,0,1,1,1,,,,,,,,,,
003353596,0,0,1,0,0,0,1,0,0,,,,,,,,,,
003355914,0,0,1,0,1,0,1,0,1,,,,,,,,,,
003368743,0,1,1,0,1,0,0,0,1,,,,,,,,,,
003378569,0,0,1,0,1,0,0,1,0,,,,,,,,,,
003388394,0,1,1,0,0,0,1,1,0,,,,,,,,,,
003399250,0,1,1,1,1,0,0,1,1,,,,,,,,,,
003423613,0,1,1,1,1,0,1,1,1,,,,,,,,,,
003438934,0,0,1,0,1,0,1,0,1,,,,,,,,,,
003467560,0,0,1,0,1,0,1,1,0,,,,,,,,,,
003481637,0,0,1,0,0,0,0,0,0,,,,,,,,,,
003491347,0,0,1,1,1,0,1,0,0,,,,,,,,,,
003509205,0,1,1,1,1,0,0,0,1,,,,,,,,,,
003511219,0,1,1,0,1,0,1,1,1,,,,,,,,,,
003527017,0,1,1,1,1,0,1,1,1,,,,,,,,,,
003528742,0,0,1,0,1,0,1,0,0,,,,,,,,,,
003538600,0,1,1,0,1,0,1,1,0,,,,,,,,,,
003549318,0,0,1,0,1,0,0,0,1,,,,,,,,,,
003549987,0,1,1,1,1,0,1,0,0,,,,,,,,,,
003557626,0,1,1,0,1,0,0,1,0,,,,,,,,,,
003573367,0,0,1,1,1,0,0,1,1,,,,,,,,,,
003594132,0,0,1,0,0,0,0,0,1,,,,,,,,,,
003616273,1,1,1,0,1,0,1,1,1,,,,,,,,,,
003616778,0,0,1,1,1,0,1,1,1,,,,,,,,,,
003626538,0,1,1,1,1,0,1,1,1,,,,,,,,,,
003643780,0,1,1,0,0,0,1,0,1,,,,,,,,,,
003648391,0,1,1,1,1,0,1,1,1,,,,,,,,,,
003655339,0,0,1,0,1,0,1,1,0,,,,,,,,,,
003679958,0,1,1,1,1,0,1,1,1,,,,,,,,,,
003697638,0,1,1,1,1,0,1,1,1,,,,,,,,,,
003702727,0,1,1,0,0,0,0,1,1,,,,,,,,,,
003740131,0,1,1,0,1,0,1,0,1,,,,,,,,,,
003748084,0,1,1,1,1,1,1,1,1,,,,,,,,,,
003765732,0,0,1,1,0,0,0,0,0,,,,,,,,,,
003787207,0,0,1,0,1,0,0,0,0,,,,,,,,,,
003805462,0,0,1,0,0,0,1,0,0,,,,,,,,,,
003806585,0,0,1,0,0,0,1,1,1,,,,,,,,,,
003807039,0,1,1,0,1,0,0,0,0,,,,,,,,,,
003811536,0,1,1,0,1,0,0,0,0,,,,,,,,,,
003818812,0,0,1,0,1,0,1,0,0,,,,,,,,,,
003819828,0,0,1,1,1,0,0,0,1,,,,,,,,,,
003823903,0,0,1,0,0,0,1,0,0,,,,,,,,,,
003825247,0,1,1,0,1,0,1,1,1,,,,,,,,,,
003833464,0,0,1,0,1,0,1,1,1,,,,,,,,,,
003851698,0,1,1,0,1,0,1,1,1,,,,,,,,,,
003877040,0,0,1,0,0,0,0,0,0,,,,,,,,,,
003884418,0,1,1,0,1,0,0,0,1,,,,,,,,,,
003890647,0,1,1,1,1,0,0,0,1,,,,,,,,,,
003908175,0,0,1,0,0,0,0,0,0,,,,,,,,,,
003911740,0,0,1,1,1,0,1,1,1,,,,,,,,,,
003931425,0,1,1,1,1,0,1,0,1,,,,,,,,,,
003932233,0,1,1,1,1,1,1,0,0,,,,,,,,,,
003948569,0,1,1,0,1,0,1,1,0,,,,,,,,,,
003956125,0,0,1,0,1,0,0,0,0,,,,,,,,,,
003957784,0,1,1,0,1,0,0,1,1,,,,,,,,,,
003971132,0,0,1,1,1,0,1,1,1,,,,,,,,,,
003978319,0,0,1,0,1,0,1,1,0,,,,,,,,,,
004012043,0,1,1,1,1,0,1,1,1,,,,,,,,,,
004050027,0,1,1,0,1,1,0,0,1,,,,,,,,,,
004057725,0,1,1,0,1,0,0,0,0,,,,,,,,,,
004060216,0,1,1,1,1,0,1,0,0,,,,,,,,,,
004063939,0,0,1,0,1,0,1,0,0,,,,,,,,,,
004064424,0,0,1,0,0,1,1,0,0,,,,,,,,,,
004067625,0,0,1,0,1,0,0,1,1,,,,,,,,,,
004071684,0,1,1,0,1,0,0,0,0,,,,,,,,,,
004081790,0,1,1,0,1,0,0,0,0,,,,,,,,,,
004092896,0,0,1,1,1,0,1,1,0,,,,,,,,,,
004096772,0,0,1,0,0,0,0,0,0,,,,,,,,,,
004105128,0,1,1,1,1,0,1,1,1,,,,,,,,,,
004111597,0,1,1,1,1,0,1,1,1,,,,,,,,,,
004125175,0,0,1,0,0,0,0,0,0,,,,,,,,,,
004133948,0,0,1,0,1,0,0,1,1,,,,,,,,,,
004135414,0,0,1,0,1,0,0,0,0,,,,,,,,,,
004140190,1,1,1,0,0,0,0,0,1,,,,,,,,,,
004151825,0,1,1,0,1,0,0,1,1,,,,,,,,,,
004152963,0,0,1,1,0,0,0,0,1,,,,,,,,,,
004159604,0,1,1,1,1,0,1,1,1,,,,,,,,,,
004162376,0,1,1,0,1,0,1,1,1,,,,,,,,,,
004165528,0,1,1,1,0,0,1,1,1,,,,,,,,,,
004171278,0,0,1,0,0,0,1,0,0,,,,,,,,,,
004171690,0,1,1,0,0,0,0,0,0,,,,,,,,,,
004173720,0,0,1,0,0,0,0,0,1,,,,,,,,,,
004182663,0,0,1,0,0,0,1,0,1,,,,,,,,,,
004190179,0,0,1,1,1,0,0,0,0,,,,,,,,,,
004193652,0,0,1,1,1,1,1,1,1,,,,,,,,,,
004197505,0,1,1,0,1,0,0,1,1,,,,,,,,,,
004215463,0,0,1,1,1,0,1,1,1,,,,,,,,,,
004216057,0,1,1,0,1,0,1,0,1,,,,,,,,,,
004217857,0,0,1,0,0,0,0,0,1,,,,,,,,,,
004222535,0,1,1,1,1,0,0,0,1,,,,,,,,,,
004224614,0,0,1,0,0,0,0,0,0,,,,,,,,,,
004227419,0,1,1,0,0,0,1,0,0,,,,,,,,,,
004230082,0,0,1,0,1,0,0,1,0,,,,,,,,,,
004231569,0,0,1,1,0,0,0,1,1,,,,,,,,,,
004240552,0,0,1,0,1,0,0,0,1,,,,,,,,,,
004248290,0,1,1,0,1,0,0,0,0,,,,,,,,,,
004249744,0,1,1,0,1,0,0,0,1,,,,,,,,,,
004252995,0,0,1,0,1,0,0,0,0,,,,,,,,,,
004256020,0,1,1,1,1,0,1,1,0,,,,,,,,,,
004256293,0,0,1,1,1,0,1,1,1,,,,,,,,,,
004259198,0,0,1,0,1,0,0,0,1,,,,,,,,,,
004261178,0,1,1,1,1,0,0,1,1,,,,,,,,,,
004268082,0,0,1,0,0,1,0,0,1,,,,,,,,,,
004270419,0,1,1,1,1,0,0,1,1,,,,,,,,,,
004290540,0,0,1,1,0,0,1,0,0,,,,,,,,,,
004293973,0,0,1,0,0,1,0,0,1,,,,,,,,,,
004303434,0,0,1,1,1,0,1,1,1,,,,,,,,,,
004309696,0,1,1,0,1,0,1,1,0,,,,,,,,,,
004313904,0,0,1,0,1,1,0,0,1,,,,,,,,,,
004318408,0,1,1,0,1,0,1,1,1,,,,,,,,,,
004329520,0,0,1,0,1,0,0,0,0,,,,,,,,,,
004335949,0,1,1,1,1,0,1,1,1,,,,,,,,,,
004337580,0,1,1,0,1,0,0,0,0,,,,,,,,,,
004341962,0,0,1,1,1,0,1,1,0,,,,,,,,,,
004348314,0,0,1,1,1,0,1,0,0,,,,,,,,,,
004350765,0,1,1,0,0,0,0,1,1,,,,,,,,,,
004352985,0,0,1,1,1,0,0,0,0,,,,,,,,,,
004354122,0,0,1,0,1,0,0,0,1,,,,,,,,,,
004365227,0,0,1,0,0,0,0,0,1,,,,,,,,,,
004366621,0,0,1,0,1,0,1,1,1,,,,,,,,,,
004377149,0,0,1,1,1,0,0,0,0,,,,,,,,,,
004385860,0,0,1,1,1,0,1,1,1,,,,,,,,,,
004386587,0,1,1,0,1,1,1,1,1,,,,,,,,,,
004394003,0,0,1,0,1,0,1,0,1,,,,,,,,,,
004395760,0,0,1,0,0,0,0,0,0,,,,,,,,,,
004403952,0,0,1,1,1,0,0,0,0,,,,,,,,,,
004404117,0,1,1,1,1,1,1,1,1,,,,,,,,,,
004411914,1,1,1,0,1,0,0,0,1,,,,,,,,,,
004413142,0,1,1,0,0,0,0,1,1,,,,,,,,,,
004413985,0,1,1,1,1,0,1,0,1,,,,,,,,,,
004416590,0,1,1,0,0,0,0,0,1,,,,,,,,,,
004417531,0,1,1,0,1,0,0,1,1,,,,,,,,,,
004423414,0,0,1,0,1,0,0,1,0,,,,,,,,,,
004435152,0,0,1,0,1,0,1,1,1,,,,,,,,,,
004437406,0,0,1,0,0,0,1,0,0,,,,,,,,,,
004439063,0,0,1,0,1,0,0,0,0,,,,,,,,,,
004443735,0,1,1,0,1,0,1,0,1,,,,,,,,,,
004447892,0,1,1,1,1,0,1,1,0,,,,,,,,,,
004450391,0,0,1,0,0,0,0,0,1,,,,,,,,,,
004451225,0,1,1,0,1,0,0,1,1,,,,,,,,,,
004451951,0,0,1,0,1,0,0,1,1,,,,,,,,,,
004455903,0,1,1,1,0,1,1,0,1,,,,,,,,,,
004459517,0,1,1,0,1,0,1,0,1,,,,,,,,,,
004462420,0,1,1,1,1,1,1,1,1,,,,,,,,,,
004463196,0,1,1,1,1,0,1,0,1,,,,,,,,,,
004470969,0,0,1,1,1,0,1,1,0,,,,,,,,,,
004474334,0,0,1,1,1,0,1,1,0,,,,,,,,,,
004478525,0,1,1,0,1,0,1,0,1,,,,,,,,,,
004485173,0,0,1,0,0,0,0,0,0,,,,,,,,,,
004486932,0,0,1,0,1,0,0,0,0,,,,,,,,,,
004488821,0,1,1,0,1,0,0,0,0,,,,,,,,,,
004493557,0,1,1,1,1,0,0,1,1,,,,,,,,,,
004495834,0,1,1,0,1,0,0,0,0,,,,,,,,,,
004499471,0,1,1,0,1,0,1,0,1,,,,,,,,,,
004501847,0,0,1,0,1,0,0,0,0,,,,,,,,,,
004509626,0,0,1,0,0,0,0,0,0,,,,,,,,,,
004509808,0,0,1,0,0,0,0,1,1,,,,,,,,,,
004519781,0,0,1,1,0,0,0,0,1,,,,,,,,,,
004520003,0,1,1,1,1,0,0,1,1,,,,,,,,,,
004522348,0,0,1,0,1,0,0,0,1,,,,,,,,,,
004522892,0,0,1,1,1,0,0,0,1,,,,,,,,,,
004528121,0,0,1,1,1,0,1,0,0,,,,,,,,,,
004530473,0,1,1,0,0,0,0,0,0,,,,,,,,,,
004532891,0,0,1,0,1,0,1,0,0,,,,,,,,,,
004534509,0,1,1,0,1,0,0,0,0,,,,,,,,,,
004535225,0,1,1,1,0,0,1,0,0,,,,,,,,,,
004538369,0,0,1,0,1,0,0,0,0,,,,,,,,,,
004542551,1,1,1,1,0,0,1,1,1,,,,,,,,,,
004543500,0,0,1,0,0,0,0,0,0,,,,,,,,,,
004545034,0,1,1,0,1,1,1,1,0,,,,,,,,,,
004549903,0,1,1,0,1,0,1,1,1,,,,,,,,,,
004551503,0,0,1,0,1,0,1,0,0,,,,,,,,,,
004551909,0,0,1,0,1,0,1,1,1,,,,,,,,,,
004553426,0,0,1,0,0,0,1,0,0,,,,,,,,,,
004578498,0,0,1,0,1,0,0,0,1,,,,,,,,,,
004606331,0,1,1,0,0,0,0,0,0,,,,,,,,,,
004612792,0,0,1,0,1,0,1,0,1,,,,,,,,,,
004628145,0,0,1,0,0,0,1,0,0,,,,,,,,,,
004629606,0,0,1,0,1,0,1,1,1,,,,,,,,,,
004633293,0,0,1,0,0,0,0,0,0,,,,,,,,,,
004639456,0,0,1,0,0,0,0,0,0,,,,,,,,,,
004641403,0,0,1,0,0,0,0,0,0,,,,,,,,,,
004643979,0,1,1,1,0,0,1,0,0,,,,,,,,,,
004650438,0,0,1,0,1,0,0,1,0,,,,,,,,,,
004652665,0,0,1,0,1,0,0,0,1,,,,,,,,,,
004653374,0,0,1,1,1,0,1,1,1,,,,,,,,,,
004658266,0,0,1,1,1,0,1,0,1,,,,,,,,,,
004661187,0,0,1,0,1,0,0,0,1,,,,,,,,,,
004668588,0,1,1,1,1,0,1,0,0,,,,,,,,,,
004669727,0,0,1,0,1,0,1,0,0,,,,,,,,,,
004674206,0,1,1,1,1,0,1,1,0,,,,,,,,,,
004676151,0,0,1,0,1,0,1,0,0,,,,,,,,,,
004687000,0,0,1,0,1,0,0,0,0,,,,,,,,,,
004689337,0,1,1,0,1,0,0,0,0,,,,,,,,,,
004691879,0,0,1,0,0,0,0,0,1,,,,,,,,,,
004695300,0,0,1,1,1,1,0,0,0,,,,,,,,,,
004696290,0,0,1,0,0,0,0,0,0,,,,,,,,,,
004698544,0,0,1,0,0,0,1,0,0,,,,,,,,,,
004702205,0,0,1,1,1,0,0,0,1,,,,,,,,,,
004705091,0,0,1,0,1,0,0,0,0,,,,,,,,,,
004706594,0,0,1,0,0,0,0,0,0,,,,,,,,,,
004708772,0,0,1,0,1,0,0,1,1,,,,,,,,,,
004713467,0,0,1,1,1,0,0,0,1,,,,,,,,,,
004722948,0,0,1,0,1,0,1,1,1,,,,,,,,,,
004724563,0,0,1,0,0,0,0,0,0,,,,,,,,,,
004726634,0,1,1,0,0,0,0,1,1,,,,,,,,,,
004731535,0,0,1,0,0,0,0,0,1,,,,,,,,,,
004743043,0,0,1,1,1,0,1,0,0,,,,,,,,,,
004744686,0,1,1,1,1,0,0,0,1,,,,,,,,,,
004750634,0,0,1,0,1,0,0,0,0,,,,,,,,,,
004766721,0,0,1,1,1,0,1,0,0,,,,,,,,,,
004771051,0,1,1,0,1,0,1,0,1,,,,,,,,,,
004773735,0,0,1,0,1,0,0,0,0,,,,,,,,,,
004775193,0,0,1,0,1,0,1,0,0,,,,,,,,,,
004775755,0,0,1,0,1,0,0,0,0,,,,,,,,,,
